year,GDP_billion_USD,DMC_tonnes,DMC_tonnes_per_person,DMC_USD_per_tonne,MF_tonnes,MF_tonnes_per_person,MF_USD_per_tonne,DMC_intensity,MF_intensity,GDP_per_capita,population,GDP_growth_rate
1970,335.559847086201,515.1245,40.17396927,0.551809609,387.642,31.60112953,0.701506019,1.535119605259777,1.155209728953118,26169.927823442562,12822345.149366915,
1971,348.98418485775204,548.0699,41.95404434,0.53893733,409.0457,32.76926422,0.689994156,1.5704720264713325,1.1721038309135108,26714.289482930708,13063577.269413736,4.0005792969927345
1972,362.631046662097,566.9575,42.71709061,0.534519136,421.8173,33.36962128,0.684248149,1.5634554879364653,1.1632134200386137,27322.230111188113,13272380.95815627,3.9104527931280053
1973,372.13052088969397,589.2147,43.78116989,0.535354733,455.9776,34.23015976,0.684731185,1.5833549438280383,1.2253163188814598,27650.88779408573,13458176.231480323,2.6195976089296913
1974,387.41434109621,617.3848,45.27920532,0.517856538,478.6123,35.54751968,0.659627855,1.593603371142834,1.2354016081225605,28413.095842994204,13635062.621721825,4.107112786657563
1975,392.58930373244704,651.3892,47.06261063,0.504919469,489.5869,36.26440811,0.655265927,1.659212805359382,1.2470714187711485,28364.421054360373,13840906.64075428,1.3357695075495002
1976,402.751234563422,648.2115,46.3196373,0.525255919,493.7787,36.17905807,0.672479212,1.6094587536215856,1.2260141189517415,28779.636132813022,13994312.947696593,2.5884380278226704
1977,417.230643180121,638.3528,45.05588531,0.538753927,465.2596,35.38337326,0.686029434,1.5299758309564508,1.1151136849724257,29448.75624723674,14168022.570368176,3.595124576686781
1978,420.95856016631404,630.4786,44.00838852,0.567602873,457.1442,34.38496399,0.726459682,1.4977212953002024,1.0859600997765424,29383.563322559945,14326327.802561402,0.8934906980414992
1979,438.009144460798,639.9537,44.16739655,0.576112092,454.7469,34.21871567,0.743609786,1.4610510033707211,1.0382132559351167,30229.880030268283,14489278.290956907,4.05041871288887
1980,451.305594857179,650.3907,44.30548859,0.586356163,481.2858,35.70745087,0.7275455,1.441131480335013,1.066429943445103,30743.543663136497,14679686.889781795,3.0356558908717135
1981,466.379040331542,662.4561,44.55797195,0.594708741,502.8743,35.18066788,0.753226638,1.4204242530476276,1.078252358087349,31369.481233791594,14867285.718105938,3.33996423845202
1982,481.887942318357,653.7502,43.40877914,0.58884114,490.4902,34.81007767,0.734295309,1.3566436148097332,1.0178511577614033,31997.18678223979,15060322.196382323,3.325385715402196
1983,471.169061968518,639.1884,41.82076263,0.630226672,474.1187,32.79261017,0.803734779,1.3566009562035048,1.006260254056492,30827.608103002418,15283996.747143969,-2.224351225363841
1984,492.813360779094,660.2319,42.53565979,0.64251554,501.9796,33.86736679,0.806966186,1.3397199681360752,1.0185998188166308,31749.664707303706,15521844.571345253,4.593743638461167
1985,518.826292325462,662.4213,42.00060654,0.666535914,487.5688,34.17926025,0.819061399,1.2767689490656349,0.939753453539602,32896.011898422876,15771707.94829193,5.278455012916816
1986,539.404649863998,683.4427,42.63570786,0.662596285,474.7166,34.23427582,0.825204074,1.2670315322130035,0.8800750978318262,33650.0763998606,16029819.470669392,3.9663289703959492
1987,553.211370887306,714.4515,43.85322189,0.67002207,478.2642,33.89046097,0.866988182,1.291462066034684,0.8645234446878834,33956.260151447816,16291881.627126668,2.559622173592513
1988,585.064279420793,705.7715,42.59341812,0.70477885,507.1361,33.62593079,0.892731845,1.2063144594961526,0.8668040723697215,35308.71887069164,16569966.233083338,5.757818839189355
1989,607.7259223008421,772.9553,45.96201706,0.665871382,539.3032,34.45593643,0.888229907,1.271881405146586,0.887411874678976,36137.03044483366,16817262.371034853,3.8733595054690095
1990,629.46677607967,821.3932,48.13284,0.6201767,553.6195,32.44157,0.9201428,1.3049031834780083,0.8795055132980201,36886.1388411282,17065130.584440894,3.5774109645541063
1991,627.0605751158549,795.1871,46.00703,0.643361,527.4415,30.51611,0.9699509,1.2681184746036414,0.8411332508068309,36279.75691654504,17284034.635576345,-0.38226020105476266
1992,629.7462099944161,799.3061,45.73046,0.665951,535.3298,30.62767,0.9943379,1.2692511480253093,0.8500722854763139,36029.48090387555,17478636.777325224,0.42828954412656994
1993,655.230327244458,810.1149,45.9384,0.683223,543.9299,30.8441,1.017574,1.2363818741524104,0.8301354155682522,37155.51073691746,17634808.787419673,4.046728165345814
1994,681.311039099666,829.6499,46.59523,0.693068,564.4293,31.69977,1.018735,1.2177256089911002,0.8284458457415838,38264.14559730307,17805468.499672607,3.9803883872239654
1995,707.786283507272,829.976,46.09727,0.7195159,623.5947,34.63475,0.9576426,1.1726364572752739,0.88104942767458,39310.79382190722,18004884.02024675,3.8859262346009116
1996,735.134359250411,895.1345,49.11637,0.6932451,590.9353,32.42485,1.050111,1.2176474799963577,0.8038466609050278,40337.101506707775,18224769.05357623,3.8638889139843036
1997,763.901984857931,919.6665,49.91938,0.7058815,631.2946,34.26659,1.028324,1.2039064149977798,0.8264078540356286,41464.502039464634,18423035.30212114,3.9132473194224415
1998,799.524373774542,946.1741,50.84884,0.7201115,650.7691,34.97333,1.046993,1.183421207702683,0.8139452921587984,42967.65992449158,18607584.75512912,4.663214603799726
1999,839.721933537843,944.879,50.22676,0.7492298,622.9715,33.11518,1.136379,1.1252284384416618,0.7418783231912865,44636.945071846436,18812262.626536135,5.027684093422802
2000,872.651653770258,976.1003,51.29594,0.7400708,632.3804,33.2328,1.142324,1.1185451786893383,0.7246653315418871,45859.51553615949,19028802.279478647,3.921502930580645
2001,890.323770708066,985.0878,51.10781,0.7626045,665.7875,34.54204,1.128337,1.1064377167157617,0.747803801161577,46191.312197584215,19274701.85085215,2.0251055345459346
2002,925.754967998798,993.4692,50.95965,0.7796983,681.5876,34.9618,1.136473,1.073144875633322,0.7362505452964363,47486.272503445456,19495212.388625115,3.9795856806736474
2003,954.367849882364,967.1554,49.04256,0.8346834,753.0369,38.18503,1.072017,1.0133989741159157,0.7890426108683563,48394.12832718178,19720736.4379021,3.090761904893524
2004,994.683066030821,1007.213,50.53063,0.8267643,807.9736,40.53503,1.030637,1.0125969109127175,0.8122925056160194,49902.01871587141,19932721.994560525,4.224284813599533
2005,1026.0570363443,1006.867,49.90211,0.8497148,841.7751,41.71986,1.016364,0.98129730057437,0.8203979605257898,50853.20215473072,20176842.221701648,3.1541675318424334
2006,1054.3284589361601,1008.76,49.32579,0.8801615,852.8677,41.70305,1.041043,0.9567796367916127,0.8089203063536402,51553.971367330836,20450964.900916945,2.7553461055719985
2007,1094.11166360391,997.6763,47.9016,0.9216952,880.6345,42.28205,1.044194,0.9118596695274591,0.8048853963399544,52531.76733304085,20827619.536716934,3.773321713035438
2008,1133.34942861657,964.327,45.38181,0.9714065,756.9361,35.62186,1.23756,0.8508646809634974,0.6678753091391758,53336.10739208354,21249196.539318286,3.586266952260986
2009,1154.79869918001,998.244,46.01973,0.9591078,789.5933,36.40079,1.212553,0.8644311780995466,0.683749731066261,53237.008527589736,21691652.68896623,1.8925558192253389
2010,1180.4350024065,963.454,43.73025,1.017505,829.0186,37.62836,1.182506,0.8161855570496042,0.7022992357138825,53578.80891457905,22031751.476380765,2.2199802653651624
2011,1208.84901942168,996.1,44.58813,1.02256,826.419,36.99276,1.232512,0.8240069553735831,0.6836412047514118,54111.351499193246,22340026.37024697,2.4070801829201516
2012,1256.19612289384,984.2112,43.2935,1.061599,821.7045,36.14515,1.27155,0.7834853030215686,0.6541211877864087,55257.57768912249,22733463.45294328,3.9167094245409872
2013,1288.88477542406,994.969,43.01987,1.077204,786.6379,34.01217,1.362488,0.7719611705962173,0.6103244564597993,55728.02316828188,23128126.607542053,2.6021933943655817
2014,1322.33499727341,1048.231,44.65178,1.044481,801.3671,34.13605,1.366237,0.7927121358516571,0.6060242689276014,56327.86225989587,23475682.26843364,2.595284115940033
2015,1351.29637225431,1043.423,43.81186,1.077945,768.4371,32.26559,1.463689,0.7721644351485248,0.5686665899339678,56739.02863911733,23815994.11666156,2.190169286952015
2016,1388.5838547956298,979.6809,40.4979,1.174282,773.1062,31.95855,1.488051,0.7055251986522545,0.5567587418865567,57401.06813670445,24190906.195136044,2.759385972384032
2017,1420.23789846073,1130.36,45.96043,1.04709,837.2973,34.0445,1.413582,0.7958948294684269,0.5895472166370664,57746.863402412935,24594199.8366856,2.279591798203584
2018,1461.1190162443102,1143.456,45.79935,1.057574,833.2692,33.3753,1.451259,0.7825892259886962,0.5702952262861186,58522.84759241181,24966642.5396867,2.8784697146786
2019,1492.84787402389,1157.746,45.68809,1.043989,844.3463,33.3204,1.431491,0.7755284514552437,0.5655943346217258,58912.20356167255,25340214.48478148,2.1715450573722705
2020,1491.06256626652,1123.445,43.79,1.099922,802.6241,31.28494,1.539578,0.7534526219198168,0.5382900209276228,58119.11555689056,25655286.59511304,-0.11959073583015511
2021,1522.54140422763,1175.688,45.76785,1.089069,827.6522,32.21931,1.547033,0.7721878674271028,0.5435991413447699,59270.35625733998,25688075.799933795,2.111168147687459
2022,1587.13348080453,1205.412,46.39959,1.098167,828.4975,31.89113,1.597765,0.7594899953776839,0.5220087094250121,61093.08915507981,25978936.451809164,4.242385553361494
2023,1641.76249141885,1220.288,,,831.9044,,,0.7432792540810201,0.5067142198388566,,,3.4419922000906933
2024,1665.257959985,1234.784,,,830.9455,,,0.7414971311778762,0.498989057531654,,,1.4311125201700081
